Median Tag ID Count by Excess Tags,Excess Tags,Max Tags,Median Tags,Min Tags,Posting Date,Number of Works,Tag ID Count,Word Count Bins
95,75+,406,28,3,2015,18,36,300-400k
33,0-75,406,34,3,2020,413,41,300-400k
83,75+,548,19,3,2012,8,21,75-100k
18,0-75,339,18,3,2011,84,21,150-200k
21,0-75,462,21,3,2015,18358,24,25-50k
93,75+,497,29,3,2020,731,33,50-75k
109,75+,497,15,3,2010,1,16,50-75k
92,75+,365,32,3,2016,12,40,400-500k
27,0-75,365,28,3,2013,49,36,400-500k
24,0-75,497,25,3,2016,8358,28,50-75k
23,0-75,462,23,3,2017,27919,26,25-50k
26,0-75,339,28,3,2021,145,33,150-200k
33,0-75,365,36,3,2020,156,45,400-500k
15,0-75,406,15,3,2009,2,15,300-400k
91,75+,548,27,3,2017,141,31,75-100k
14,0-75,462,14,3,2011,2904,15,25-50k
26,0-75,339,27,3,2015,1110,32,150-200k
89,75+,678,14,0,2018,1692,16,0-25k
18,0-75,365,19,3,2012,33,24,400-500k
27,0-75,548,27,3,2017,4688,31,75-100k
31,0-75,339,32,3,2018,1811,37,150-200k
88,75+,678,12,0,2015,396,14,0-25k
24,0-75,406,24,3,2011,14,27,300-400k
93,75+,548,29,3,2019,289,34,75-100k
93,75+,392,34,3,2020,157,40,200-300k
31,0-75,415,35,3,2017,154,44,500k+
86,75+,339,18,3,2011,1,21,150-200k
90,75+,462,21,3,2015,201,24,25-50k
92,75+,392,30,3,2015,54,36,200-300k
91,75+,517,26,2,2015,90,31,100-150k
103,75+,415,35,3,2017,22,44,500k+
86,75+,392,21,3,2012,2,25,200-300k
11,0-75,678,11,0,2013,340914,12,0-25k
96,75+,339,30,3,2016,56,35,150-200k
93,75+,462,27,3,2020,1505,30,25-50k
24,0-75,462,25,3,2018,32131,28,25-50k
100,75+,678,9,0,2011,14,10,0-25k
19,0-75,517,19,2,2012,838,22,100-150k
80,75+,497,15,3,2011,1,17,50-75k
30,0-75,415,31,3,2021,9,35,500k+
89,75+,548,23,3,2014,44,27,75-100k
31,0-75,339,33,3,2019,2027,38,150-200k
87,75+,678,12,0,2014,300,13,0-25k
114,75+,365,22,3,2011,1,39,400-500k
18,0-75,497,18,3,2012,2078,21,50-75k
20,0-75,415,20,3,2011,12,24,500k+
20,0-75,339,20,3,2010,52,25,150-200k
20,0-75,462,20,3,2014,13766,23,25-50k
13,0-75,678,13,0,2016,641345,15,0-25k
92,75+,339,23,3,2013,12,28,150-200k
101,75+,365,36,3,2018,22,45,400-500k
25,0-75,517,26,2,2021,466,31,100-150k
24,0-75,415,25,3,2012,34,31,500k+
27,0-75,365,28,3,2015,96,34,400-500k
9,0-75,678,9,0,2011,125868,10,0-25k
91,75+,462,25,3,2018,606,28,25-50k
16,0-75,392,17,3,2011,69,21,200-300k
14,0-75,678,14,0,2018,834972,16,0-25k
93,75+,462,14,3,2011,3,15,25-50k
99,75+,339,27,3,2015,37,32,150-200k
15,0-75,678,15,0,2020,1518813,18,0-25k
94,75+,462,18,3,2013,49,21,25-50k
14,0-75,678,14,0,2019,1044316,16,0-25k
92,75+,339,26,3,2014,32,31,150-200k
30,0-75,406,33,3,2017,349,41,300-400k
32,0-75,365,36,3,2018,171,45,400-500k
90,75+,517,30,2,2018,244,35,100-150k
92,75+,497,18,3,2012,16,21,50-75k
10,0-75,678,10,0,2012,229808,11,0-25k
91,75+,339,30,3,2017,88,35,150-200k
89,75+,462,27,3,2021,184,30,25-50k
81,75+,517,19,2,2012,7,22,100-150k
94,75+,548,24,3,2015,75,29,75-100k
96,75+,392,28,3,2021,5,32,200-300k
31,0-75,365,32,3,2016,141,40,400-500k
28,0-75,548,29,3,2018,5419,33,75-100k
16,0-75,462,16,3,2012,6110,19,25-50k
89,75+,678,16,0,2021,1231,19,0-25k
30,0-75,392,32,3,2016,928,37,200-300k
21,0-75,548,21,3,2013,1641,24,75-100k
83,75+,406,30,3,2021,3,34,300-400k
21,0-75,339,21,3,2009,13,26,150-200k
18,0-75,462,18,3,2013,10646,21,25-50k
89,75+,678,15,0,2020,4711,18,0-25k
33,0-75,392,35,3,2018,1341,40,200-300k
92,75+,392,27,3,2014,24,32,200-300k
25,0-75,392,28,3,2021,84,32,200-300k
82,75+,365,19,3,2012,1,24,400-500k
18,0-75,517,18,2,2011,296,22,100-150k
25,0-75,415,33,3,2015,103,43,500k+
30,0-75,517,31,2,2019,5178,36,100-150k
112,75+,365,28,3,2013,4,36,400-500k
33,0-75,406,35,3,2018,451,42,300-400k
106,75+,415,33,3,2015,19,43,500k+
79,75+,365,28,3,2015,4,34,400-500k
29,0-75,415,32,3,2020,142,39,500k+
25,0-75,517,25,2,2014,1966,29,100-150k
19,0-75,415,19,3,2010,4,24,500k+
19,0-75,392,19,3,2009,11,23,200-300k
16,0-75,517,16,2,2008,3,16,100-150k
106,75+,406,32,3,2014,13,37,300-400k
101,75+,517,16,2,2010,1,19,100-150k
33,0-75,392,35,3,2019,1366,41,200-300k
94,75+,517,32,2,2020,398,37,100-150k
96,75+,415,37,3,2018,34,48,500k+
91,75+,517,30,2,2017,195,34,100-150k
93,75+,497,23,3,2015,125,27,50-75k
29,0-75,517,30,2,2018,4785,35,100-150k
14,0-75,497,14,3,2008,13,15,50-75k
14,0-75,678,14,0,2017,730868,16,0-25k
77,75+,339,20,3,2012,3,23,150-200k
12,0-75,678,12,0,2015,517907,14,0-25k
91,75+,339,32,3,2018,105,37,150-200k
32,0-75,365,35,3,2017,132,45,400-500k
31,0-75,406,34,3,2019,432,41,300-400k
80,75+,548,17,3,2011,1,19,75-100k
29,0-75,339,30,3,2016,1335,35,150-200k
26,0-75,462,27,3,2020,55679,30,25-50k
89,75+,678,11,0,2013,91,12,0-25k
103,75+,365,36,3,2020,23,45,400-500k
32,0-75,392,34,3,2017,1151,39,200-300k
91,75+,497,25,3,2016,175,28,50-75k
92,75+,392,35,3,2018,112,40,200-300k
98,75+,365,35,3,2017,18,45,400-500k
31,0-75,517,32,2,2020,6724,37,100-150k
19,0-75,365,19,3,2010,2,19,400-500k
90,75+,415,25,3,2012,4,31,500k+
27,0-75,497,28,3,2019,12733,32,50-75k
27,0-75,406,28,3,2015,256,36,300-400k
26,0-75,392,27,3,2014,550,32,200-300k
115,75+,415,31,3,2021,1,35,500k+
23,0-75,406,23,3,2012,84,27,300-400k
92,75+,548,30,3,2020,417,35,75-100k
18,0-75,548,19,3,2012,883,21,75-100k
101,75+,406,34,3,2020,40,41,300-400k
29,0-75,517,30,2,2017,4022,34,100-150k
25,0-75,365,27,3,2014,60,38,400-500k
23,0-75,548,23,3,2014,2265,27,75-100k
31,0-75,415,37,3,2018,173,48,500k+
23,0-75,392,23,3,2013,418,29,200-300k
93,75+,392,32,3,2016,61,37,200-300k
25,0-75,462,25,3,2019,37253,28,25-50k
84,75+,678,9,0,2010,7,9,0-25k
99,75+,392,35,3,2019,118,41,200-300k
25,0-75,497,25,3,2017,9976,29,50-75k
24,0-75,548,24,3,2015,3105,29,75-100k
25,0-75,415,25,3,2014,93,33,500k+
30,0-75,406,32,3,2014,189,37,300-400k
20,0-75,497,20,3,2013,3759,23,50-75k
23,0-75,406,23,3,2010,10,26,300-400k
91,75+,548,29,3,2018,208,33,75-100k
17,0-75,392,17,3,2010,23,21,200-300k
89,75+,415,33,3,2016,15,39,500k+
93,75+,497,22,3,2014,61,25,50-75k
89,75+,497,20,3,2013,28,23,50-75k
28,0-75,392,30,3,2015,777,36,200-300k
88,75+,517,27,2,2016,109,32,100-150k
27,0-75,517,27,2,2016,3538,32,100-150k
171,75+,415,35,3,2013,4,41,500k+
27,0-75,548,28,3,2021,596,33,75-100k
106,75+,406,29,3,2013,7,35,300-400k
87,75+,497,27,3,2021,50,31,50-75k
91,75+,548,27,3,2016,103,31,75-100k
87,75+,517,22,2,2013,21,27,100-150k
93,75+,517,31,2,2019,298,36,100-150k
26,0-75,548,27,3,2016,3884,31,75-100k
34,0-75,415,41,3,2019,173,50,500k+
22,0-75,497,22,3,2014,4870,25,50-75k
